Predio;I.D. Faena;Nå¡ Orden;Cultivo;Variedad;Fecha;E. Fenologico;Codigo Producto;Nombre Producto;Ing Activo;Nå¡ AutorizaciÌ?n SAG;Tratamiento;Cantidad;U. Med.;Moja. Lts x Ha;Tipo Dosis;Dosis;Ha. Aplica;T.Cantidad Ha. Aplica;R.Aplica Calculado;Real Aplicado;Cobertura;Nå¡ Aplica Periodo.;Nå¼ aplica etiqueta;Clasifica;Cod Cuartel;Cuartel / Potrero;Total Ha.;Fecha Inicio Aplica;Hr. Inicio;Fecha Term. Aplica;Hr. TÌ©rmino;Hr. Reingre;Carencia;Dias Carencias PPPL;Plazo Seguridad;ConcentraciÌ?n;Adjunto Productos;Estado;Faena;Labor;Clima;Viento;Temp.;Responsable (Aplicaciones);Dosificador (Aplicaciones);Verificador TÌ©cnico (Aplicaciones);Aplicador;Aplicador 2;Observaciones;Usuario Login;Total Producto;Maquinarias;Total Maqui;Maq Cod/GPS;Tot.Maq c/GPS;Tot Orden Aplica;Cantidad Periodo;tipo;has totales;unidades n;unidades p;unidades k;monto en usd
Camino Truncado, Puente Alto y La Chimbera;69.935;;;Flame;17/11/2025;;p-144;Nutri 1075M;;;;134,992;Litros;0,000;Hectareas;61,360;;;0,00;0,00;Total;1;0;La Chimbera;21;21;2,20;15/10/2025;23:00:00;16/11/2025;08:00:00;0;0;0;17/11/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;;$ 0,1;;0;;0;4;1.350,778;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;69.936;;;Arizul;17/11/2025;;p-169;Nutri 050 V;;;;170,926;Litros;0,000;Hectareas;58,940;;;0,00;0,00;Total;1;0;La Chimbera;26;26;2,90;15/10/2025;23:00:00;16/11/2025;08:00:00;0;0;0;17/11/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;;$ 0,1;;0;;0;1;170,926;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;69.936;;;Arizul;17/11/2025;;p-144;Nutri 1075M;;;;177,944;Litros;0,000;Hectareas;61,360;;;0,00;0,00;Total;1;0;La Chimbera;26;26;2,90;15/10/2025;23:00:00;16/11/2025;08:00:00;0;0;0;17/11/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;;$ 0,1;;0;;0;4;1.780,571;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;69.937;;;Flame;17/11/2025;;p-169;Nutri 050 V;;;;243,936;Litros;0,000;Hectareas;55,440;;;0,00;0,00;Total;1;0;La Chimbera;18;18;4,40;16/11/2025;08:00:00;16/11/2025;18:00:00;0;0;0;17/11/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;;$ 0,2;;0;;0;2;487,872;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;69.937;;;Flame;17/11/2025;;p-144;Nutri 1075M;;;;253,968;Litros;0,000;Hectareas;57,720;;;0,00;0,00;Total;1;0;La Chimbera;18;18;4,40;16/11/2025;08:00:00;16/11/2025;18:00:00;0;0;0;17/11/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;;$ 0,2;;0;;0;5;3.303,407;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;69.938;;;Arizul;17/11/2025;;p-169;Nutri 050 V;;;;155,232;Litros;0,000;Hectareas;55,440;;;0,00;0,00;Total;1;0;La Chimbera;24;24;2,80;16/11/2025;08:00:00;16/11/2025;18:00:00;0;0;0;17/11/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;;$ 0,1;;0;;0;2;310,464;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;69.938;;;Arizul;17/11/2025;;p-144;Nutri 1075M;;;;161,616;Litros;0,000;Hectareas;57,720;;;0,00;0,00;Total;1;0;La Chimbera;24;24;2,80;16/11/2025;08:00:00;16/11/2025;18:00:00;0;0;0;17/11/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;;$ 0,1;;0;;0;5;2.102,168;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;69.939;;;Arizul;17/11/2025;;p-169;Nutri 050 V;;;;160,776;Litros;0,000;Hectareas;55,440;;;0,00;0,00;Total;1;0;La Chimbera;27;27;2,90;16/11/2025;08:00:00;16/11/2025;18:00:00;0;0;0;17/11/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;;$ 0,1;;0;;0;2;321,552;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;69.939;;;Arizul;17/11/2025;;p-144;Nutri 1075M;;;;167,388;Litros;0,000;Hectareas;57,720;;;0,00;0,00;Total;1;0;La Chimbera;27;27;2,90;16/11/2025;08:00:00;16/11/2025;18:00:00;0;0;0;17/11/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;;$ 0,1;;0;;0;5;2.177,246;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;70.262;;;Flame;17/11/2025;;p-169;Nutri 050 V;;;;259,336;Litros;0,000;Hectareas;58,940;;;0,00;0,00;Total;1;0;La Chimbera;16;16;4,40;12/11/2025;23:00:00;13/11/2025;08:00:00;0;0;0;14/11/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;;$ 0,2;;0;;0;2;518,672;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;70.262;;;Flame;17/11/2025;;p-144;Nutri 1075M;;;;810,524;Litros;0,000;Hectareas;184,210;;;0,00;0,00;Total;1;0;La Chimbera;16;16;4,40;12/11/2025;23:00:00;13/11/2025;08:00:00;0;0;0;14/11/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;;$ 0,8;;0;;0;5;3.512,080;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;70.263;;;Flame;17/11/2025;;p-169;Nutri 050 V;;;;129,668;Litros;0,000;Hectareas;58,940;;;0,00;0,00;Total;1;0;La Chimbera;21;21;2,20;12/11/2025;23:00:00;13/11/2025;08:00:00;0;0;0;14/11/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;;$ 0,1;;0;;0;2;259,336;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;70.263;;;Flame;17/11/2025;;p-144;Nutri 1075M;;;;405,262;Litros;0,000;Hectareas;184,210;;;0,00;0,00;Total;1;0;La Chimbera;21;21;2,20;12/11/2025;23:00:00;13/11/2025;08:00:00;0;0;0;14/11/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;;$ 0,4;;0;;0;5;1.756,040;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;70.264;;;Arizul;17/11/2025;;p-169;Nutri 050 V;;;;170,926;Litros;0,000;Hectareas;58,940;;;0,00;0,00;Total;1;0;La Chimbera;26;26;2,90;12/11/2025;23:00:00;13/11/2025;08:00:00;0;0;0;14/11/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;;$ 0,1;;0;;0;2;341,852;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;70.264;;;Arizul;17/11/2025;;p-144;Nutri 1075M;;;;534,209;Litros;0,000;Hectareas;184,210;;;0,00;0,00;Total;1;0;La Chimbera;26;26;2,90;12/11/2025;23:00:00;13/11/2025;08:00:00;0;0;0;14/11/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;;$ 0,5;;0;;0;5;2.314,780;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;70.265;;;Fiesta;17/11/2025;;p-169;Nutri 050 V;;;;251,416;Litros;0,000;Hectareas;57,140;;;0,00;0,00;Total;1;0;La Chimbera;20;20;4,40;16/11/2025;23:00:00;17/11/2025;08:00:00;0;0;0;18/11/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;;$ 0,2;;0;;0;2;502,832;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;70.265;;;Fiesta;17/11/2025;;p-144;Nutri 1075M;;;;261,712;Litros;0,000;Hectareas;59,480;;;0,00;0,00;Total;1;0;La Chimbera;20;20;4,40;16/11/2025;23:00:00;17/11/2025;08:00:00;0;0;0;18/11/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;;$ 0,2;;0;;0;5;3.404,544;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;70.266;;;Fiesta;17/11/2025;;p-169;Nutri 050 V;;;;148,564;Litros;0,000;Hectareas;57,140;;;0,00;0,00;Total;1;0;La Chimbera;22;22;2,60;16/11/2025;23:00:00;17/11/2025;08:00:00;0;0;0;18/11/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;;$ 0,1;;0;;0;2;297,128;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;70.266;;;Fiesta;17/11/2025;;p-144;Nutri 1075M;;;;154,648;Litros;0,000;Hectareas;59,480;;;0,00;0,00;Total;1;0;La Chimbera;22;22;2,60;16/11/2025;23:00:00;17/11/2025;08:00:00;0;0;0;18/11/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;;$ 0,1;;0;;0;5;2.011,776;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;70.267;;;Fiesta;17/11/2025;;p-169;Nutri 050 V;;;;159,992;Litros;0,000;Hectareas;57,140;;;0,00;0,00;Total;1;0;La Chimbera;23;23;2,80;16/11/2025;23:00:00;17/11/2025;08:00:00;0;0;0;18/11/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;;$ 0,1;;0;;0;2;319,984;Real;;;;;
