id;codigo;faena;tipo;finca;labor;precio;rendimiento;id labor
86;CF003;APLICACIONES;Aplicación;Camino Truncado, Puente Alto y La Chimbera<br>El espejo<br>Predio test (cambiar Nombre)....<br>Secadero;NO USAR AF - 32;$ 0,00;0;285
86;CF003;APLICACIONES;Aplicación;Camino Truncado, Puente Alto y La Chimbera<br>El espejo<br>Predio test (cambiar Nombre)....<br>Secadero;NO USAR AF - 33;$ 0,00;0;286
86;CF003;APLICACIONES;Aplicación;Camino Truncado, Puente Alto y La Chimbera<br>El espejo<br>Predio test (cambiar Nombre)....<br>Secadero;NO USAR AF - 34;$ 0,00;0;287
86;CF003;APLICACIONES;Aplicación;Camino Truncado, Puente Alto y La Chimbera<br>El espejo<br>Predio test (cambiar Nombre)....<br>Secadero;NO USAR AF - 35;$ 0,00;0;288
87; CF004;TRABAJOS VERDE;Labor Agrícola;Camino Truncado, Puente Alto y La Chimbera<br>El espejo<br>Predio test (cambiar Nombre)....;ACOMODO DE BROTES;$ 0,00;0;42
87; CF004;TRABAJOS VERDE;Labor Agrícola;Camino Truncado, Puente Alto y La Chimbera<br>El espejo<br>Predio test (cambiar Nombre)....;ACOMODO DE BROTES;$ 0,00;0;43
87; CF004;TRABAJOS VERDE;Labor Agrícola;Camino Truncado, Puente Alto y La Chimbera<br>El espejo<br>Predio test (cambiar Nombre)....;DESBROTE DE TRONCO 1;$ 0,00;0;44
87; CF004;TRABAJOS VERDE;Labor Agrícola;Camino Truncado, Puente Alto y La Chimbera<br>El espejo<br>Predio test (cambiar Nombre)....;DESBROTE DE TRONCO 2;$ 0,00;0;45
87; CF004;TRABAJOS VERDE;Labor Agrícola;Camino Truncado, Puente Alto y La Chimbera<br>El espejo<br>Predio test (cambiar Nombre)....; DESHOJE;$ 0,00;0;46
87; CF004;TRABAJOS VERDE;Labor Agrícola;Camino Truncado, Puente Alto y La Chimbera<br>El espejo<br>Predio test (cambiar Nombre)....;DESBROTE DE TRONCO 3;$ 0,00;0;47
87; CF004;TRABAJOS VERDE;Labor Agrícola;Camino Truncado, Puente Alto y La Chimbera<br>El espejo<br>Predio test (cambiar Nombre)....;DESBROTE DE TRONCO 4;$ 0,00;0;48
87; CF004;TRABAJOS VERDE;Labor Agrícola;Camino Truncado, Puente Alto y La Chimbera<br>El espejo<br>Predio test (cambiar Nombre)....;DESBROTE DE TRONCO 5;$ 0,00;0;49
87; CF004;TRABAJOS VERDE;Labor Agrícola;Camino Truncado, Puente Alto y La Chimbera<br>El espejo<br>Predio test (cambiar Nombre)....;DESBROTE DE TRONCO 6;$ 0,00;0;146
