Finca;Predio;Cuartel;Variedad;Has;Año;Ciclo;Kg;Estado;Referencia
Camino Truncado, Puente Alto y La Chimbera;Puente Alto;2;Flame;5,13;2023;2022-2023;102.431;Uva;Puente Alto 2 2023
Camino Truncado, Puente Alto y La Chimbera;Puente Alto;2;Flame;5,13;2024;2023-2024;111.205;Uva;Puente Alto 2 2024
Camino Truncado, Puente Alto y La Chimbera;Puente Alto;3;Flame;5,11;2025;2024-2025;156.214;Uva;Puente Alto 3 2025
Camino Truncado, Puente Alto y La Chimbera;Puente Alto;3;Flame;5,11;2014;2013-2014;8.238;Uva;Puente Alto 3 2014
Camino Truncado, Puente Alto y La Chimbera;Puente Alto;3;Flame;5,11;2017;2016-2017;3.307;Uva;Puente Alto 3 2017
Camino Truncado, Puente Alto y La Chimbera;Puente Alto;3;Flame;5,11;2018;2017-2018;33.099;Uva;Puente Alto 3 2018
Camino Truncado, Puente Alto y La Chimbera;Puente Alto;3;Flame;5,11;2019;2018-2019;46.570;Uva;Puente Alto 3 2019
Camino Truncado, Puente Alto y La Chimbera;Puente Alto;3;Flame;5,11;2020;2019-2020;125.225;Uva;Puente Alto 3 2020
Camino Truncado, Puente Alto y La Chimbera;Puente Alto;3;Flame;5,11;2021;2020-2021;132.352;Uva;Puente Alto 3 2021
Camino Truncado, Puente Alto y La Chimbera;Puente Alto;3;Flame;5,11;2022;2021-2022;199.207;Uva;Puente Alto 3 2022
Camino Truncado, Puente Alto y La Chimbera;Puente Alto;3;Flame;5,11;2023;2022-2023;56.197;Uva;Puente Alto 3 2023
Camino Truncado, Puente Alto y La Chimbera;Puente Alto;3;Flame;5,11;2024;2023-2024;196.205;Uva;Puente Alto 3 2024
Camino Truncado, Puente Alto y La Chimbera;Puente Alto;3;Flame;5,11;2025;2024-2025;60.573;Pasa;Puente Alto 3 2025
Camino Truncado, Puente Alto y La Chimbera;Puente Alto;4;Flame;4,44;2014;2013-2014;4.011;Uva;Puente Alto 4 2014
Camino Truncado, Puente Alto y La Chimbera;Puente Alto;4;Flame;4,44;2016;2015-2016;2.810;Uva;Puente Alto 4 2016
Camino Truncado, Puente Alto y La Chimbera;Puente Alto;4;Flame;4,44;2017;2016-2017;16.070;Uva;Puente Alto 4 2017
Camino Truncado, Puente Alto y La Chimbera;Puente Alto;4;Flame;4,44;2018;2017-2018;41.359;Uva;Puente Alto 4 2018
Camino Truncado, Puente Alto y La Chimbera;Puente Alto;4;Flame;4,44;2019;2018-2019;33.010;Uva;Puente Alto 4 2019
Camino Truncado, Puente Alto y La Chimbera;Puente Alto;4;Flame;4,44;2020;2019-2020;55.854;Uva;Puente Alto 4 2020
Camino Truncado, Puente Alto y La Chimbera;Puente Alto;4;Flame;4,44;2021;2020-2021;137.969;Uva;Puente Alto 4 2021
Camino Truncado, Puente Alto y La Chimbera;Puente Alto;4;Flame;4,44;2022;2021-2022;125.655;Uva;Puente Alto 4 2022
Camino Truncado, Puente Alto y La Chimbera;Puente Alto;4;Flame;4,44;2023;2022-2023;52.583;Uva;Puente Alto 4 2023
Camino Truncado, Puente Alto y La Chimbera;Puente Alto;4;Flame;4,44;2024;2023-2024;138.404;Uva;Puente Alto 4 2024
Camino Truncado, Puente Alto y La Chimbera;Puente Alto;4;Flame;4,44;2025;2024-2025;102.559;Uva;Puente Alto 4 2025
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;15;Flame;3,69;2013;2012-2013;3.407;Uva;La Chimbera 15 2013
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;15;Flame;3,69;2014;2013-2014;35.063;Uva;La Chimbera 15 2014
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;15;Flame;3,69;2015;2014-2015;51.781;Uva;La Chimbera 15 2015
