FINCA;ITEMS;UNIFICACION;USD;Año;Has;Valor inicial;Fincas;% de mod;USD Final
04 - EL ESPEJO;SECADO;Jornales Secado;20227;2026;55,89;;El Espejo;;20227
05 - EL ESPEJO;ADMINISTRACION;Administración Rosario;15073;2026;63,7;;El Espejo;;15073
05 - EL ESPEJO;ADMINISTRACION;Administración San Juan;12199;2026;63,7;;El Espejo;;12199
05 - EL ESPEJO;COMBUSTIBLE Y MANTENIMIENTO;Combustible y Lubricantes;2965;2026;63,7;;El Espejo;;2965
05 - EL ESPEJO;COMBUSTIBLE Y MANTENIMIENTO;Fletes Varios;726;2026;63,7;;El Espejo;;726
05 - EL ESPEJO;COMBUSTIBLE Y MANTENIMIENTO;Insumos menores;4944;2026;63,7;;El Espejo;;4944
05 - EL ESPEJO;COMBUSTIBLE Y MANTENIMIENTO;Reparaciones Repuestos;5112;2026;63,7;;El Espejo;;5112
05 - EL ESPEJO;COSECHA;Alquiler Maquinaria Cos;2993;2026;63,7;;El Espejo;;2993
05 - EL ESPEJO;COSECHA;Combustible Cosecha;229;2026;63,7;;El Espejo;;229
05 - EL ESPEJO;COSECHA;Cosecha;13639;2026;63,7;;El Espejo;;13639
05 - EL ESPEJO;COSECHA;Flete Cosecha;228;2026;63,7;;El Espejo;;228
05 - EL ESPEJO;ENERGIA FINCAS;Energia Fincas;33759;2026;63,7;;El Espejo;;33759
05 - EL ESPEJO;FERTILIZANTES;Inorgánicos;;2026;63,7;;El Espejo;;
05 - EL ESPEJO;FITOSANITARIOS;Coadyuvantes;253;2026;63,7;;El Espejo;;253
05 - EL ESPEJO;FITOSANITARIOS;Foliares;8689;2026;63,7;;El Espejo;;8689
05 - EL ESPEJO;FITOSANITARIOS;Fungicidas;421;2026;63,7;;El Espejo;;421
05 - EL ESPEJO;FITOSANITARIOS;Herbicidas;536;2026;63,7;;El Espejo;;536
05 - EL ESPEJO;FITOSANITARIOS;Hormonas;1346;2026;63,7;;El Espejo;;1346
05 - EL ESPEJO;FITOSANITARIOS;Insecticidas;4485;2026;63,7;;El Espejo;;4485
05 - EL ESPEJO;INVERSIONES;Inversiones;100642;2026;63,7;;El Espejo;;100642
05 - EL ESPEJO;PERSONAL FINCA;Cargas Sociales;5667;2026;63,7;;El Espejo;;5667
05 - EL ESPEJO;PERSONAL FINCA;Contratados;73842;2026;63,7;;El Espejo;;73842
05 - EL ESPEJO;PERSONAL FINCA;Encargados;2232;2026;63,7;;El Espejo;;2232
05 - EL ESPEJO;PERSONAL FINCA;Permanentes;26754;2026;63,7;;El Espejo;;26754
05 - EL ESPEJO;SECADO;Alquiler Maquinaria Sec;1063;2026;63,7;;El Espejo;;1063
05 - EL ESPEJO;SECADO;Combustible Secado;613;2026;63,7;;El Espejo;;613
05 - EL ESPEJO;SECADO;Jornales Secado;11176;2026;63,7;;El Espejo;;11176
